"Name","Type","Unlock Prerequisite","Research Scrolls","Antique Tokens","Tier","Value","Crafting Time (seconds)","Crafting Time (formatted)","Value / Crafting Time","Merchant XP","Merchant XP / Crafting Time","Worker XP","Fusion XP","Favor","Airship Power","","Required Worker ","Worker Level","Required Worker","Worker Level","Required Worker","Worker Level","","","","","","","","","","","","","","","Component","Component Quality","Amount Needed","Component","Component Quality","Amount Needed","","ATK","DEF","HP","EVA","CRIT","Mana Shield","","Elemental Affinity","Spirit Affinity","Built-In Element","Built-In Spirit","","Crafting Upgrade 1","Crafts Needed","Crafting Upgrade 2","Crafts Needed","Crafting Upgrade 3","Crafts Needed","Crafting Upgrade 4","Crafts Needed","Crafting Upgrade 5","Crafts Needed","","Starforged Milestone 1","Crafts Needed","Starforged Milestone 2","Crafts Needed","Starforged Milestone 3","Crafts Needed","Starforged Milestone 4","Crafts Needed","Starforged Milestone 5","Crafts Needed","","Ascension Upgrade 1","Shards Needed","Ascension Upgrade 2","Shards Needed","Ascension Upgrade 3","Shards Needed","Transcendence Upgrade 1","Seals Needed","Transcendence Upgrade 2","Seals Needed","Transcendence Upgrade 3","Seals Needed","","Discount Energy","Surcharge Energy","Suggest Energy","Speed Up Energy","","Is Antique starting on (UTC)",""
"Banana Gun","Gun","Fruity Superior Pack","---","140","6","56,000","6,000","01:40:00","9.33","34,500","5.75","518","2,590","357","298","","Engineer","16","Master","1","---","","","","---","---","127","","---","---","33","---","---","---","---","","Living Root","---","5","Moon Crystal","---","2","","310","---","10","---","---","---","","Water","---","---","---","","-25% Craft Time Reduction","7","-25 Herbs Spent","18","x1.25 Value Increase","32","-1 Living Root Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-7 Oils Spent","25","+10% Multicraft Chance","25","-1 Moon Crystal Spent","25","ATK +31","25","HP +10","25","+10% Base ATK, DEF and HP","25","","170","380","75","565","","February 20, 2023",""
"Pellet Popper","Gun","Arcade 2023 Superior Pack","---","140","6","58,000","6,000","01:40:00","9.67","34,500","5.75","518","2,590","347","360","","Engineer","16","Master","1","---","","","","---","---","124","","---","---","33","---","---","---","---","","Deep Pearl","---","5","White Sand","---","2","","310","93","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-25 Herbs Spent","18","-7 Oils Spent","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-1 Deep Pearl Spent","25","+10% Multicraft Chance","25","-1 White Sand Spent","25","ATK +31","25","DEF +25","25","+10% Base ATK, DEF and HP","25","","175","385","75","565","","November 12, 2023",""
"Kenora Mk. IV","Gun","Crafty Engineer Pack","20","","7","110,000","9,000","02:30:00","12.22","43,000","4.78","645","3,225","860","280","","Engineer","18","Jeweler","14","---","","","171","78","---","---","39","---","---","---","---","---","---","---","","Star Metal","---","4","White Sand","---","2","","350","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-34 Iron Spent","18","Blueprint: Prototype Gatling","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-8 Steel Spent","30","+10% Multicraft Chance","30","-2 White Sand Spent","30","ATK +35","30","DEF +28","30","+10% Base ATK, DEF and HP","30","","235","525","105","675","","",""
"Darkenbuss","Gun","Roland's Expedition Pack","---","160","7","140,000","13,800","03:50:00","10.14","52,500","3.8","788","3,940","1,188","464","","Engineer","20","Jeweler","16","---","","","202","92","---","---","47","---","---","---","---","---","---","---","","Evil Eye","---","5","Moon Crystal","---","3","","400","120","---","---","---","---","","Dark","---","---","---","","-25% Craft Time Reduction","7","-40 Iron Spent","16","-2 Evil Eye Spent","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-9 Steel Spent","30","+10% Multicraft Chance","30","-1 Moon Crystal Spent","30","ATK +40","30","DEF +32","30","+10% Base ATK, DEF and HP","30","","265","590","120","795","","December 10, 2025",""
"Prototype Gatling","Gun","Crafty Engineer Pack","30","","8","210,000","16,800","04:40:00","12.5","57,500","3.42","863","4,315","898","336","","Engineer","21","Master","17","---","","","219","---","---","---","51","---","---","---","---","---","---","---","","Handgun","Normal","4","Overgrown Vine","---","5","","420","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-2 Handgun Spent","16","Blueprint: Dragonator","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","-2 Handgun Spent","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-10 Steel Spent","35","+10% Multicraft Chance","35","-1 Overgrown Vine Spent","35","ATK +42","35","DEF +34","35","+10% Base ATK, DEF and HP","35","","320","715","145","860","","",""
"Rusty Shotty","Gun","Scavenger Superior Pack","---","180","8","235,000","20,400","05:40:00","11.52","63,000","3.09","945","4,725","1,037","528","","Engineer","21","Master","17","---","","","235","---","---","---","57","---","---","---","---","---","---","---","","Ancient Marble","---","5","Evil Eye","---","3","","440","---","---","---","0.05","---","","---","---","---","---","","-25% Craft Time Reduction","7","-47 Iron Spent","16","x1.25 Value Increase","30","-2 Ancient Marble Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-11 Steel Spent","35","+10% Multicraft Chance","35","-1 Evil Eye Spent","35","ATK +44","35","CRIT +2%","35","+10% Base ATK, DEF and HP","35","","340","755","150","925","","January 19, 2026",""
"Dragonator","Gun","Crafty Engineer Pack","40","","9","375,000","29,400","08:10:00","12.76","86,500","2.94","1,298","6,490","1,943","424","","Engineer","24","Master","20","---","","","302","---","---","---","77","---","---","---","---","11","---","---","","Ember Element","Normal","2","Spooky Ectoplasm","---","4","","530","---","---","---","---","---","","Fire","---","---","---","","-40% Craft Time Reduction","7","-60 Iron Spent","18","Blueprint: The Messenger","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","-2 Ember Element Spent","45","x1.25 Value Increase","70","+25% Base ATK, DEF and HP","110","","-2 Jewels Spent","40","-1 Spooky Ectoplasm Spent","40","+10% Multicraft Chance","40","ATK +53","40","DEF +42","40","+10% Base ATK, DEF and HP","40","","425","945","190","1,220","","",""
"Handcask '65","Gun","Oktoberfest Superior Pack","---","200","9","425,000","31,200","08:40:00","13.62","86,500","2.77","1,298","6,490","1,943","584","","Engineer","24","Master","20","---","","","302","---","---","---","77","---","---","---","---","11","---","---","","Ghastly Pennant","---","3","Evil Eye","---","5","","530","133","---","---","---","---","","---","---","---","---","","-40% Craft Time Reduction","7","-60 Iron Spent","18","x1.25 Value Increase","32","-15 Steel Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","+10% Multicraft Chance","45","x1.25 Value Increase","70","+25% Base ATK, DEF and HP","110","","-2 Jewels Spent","40","-1 Evil Eye Spent","40","+10% Multicraft Chance","40","ATK +53","40","DEF +42","40","+10% Base ATK, DEF and HP","40","","450","1,005","200","1,220","","March 22, 2021",""
"The Messenger","Gun","Crafty Engineer Pack","55","","10","665,000","36,600","10:10:00","18.17","100,000","2.73","1,500","7,500","2,569","464","","Engineer","25","Master","21","Blacksmith","18","","337","---","---","---","87","---","---","---","---","15","---","---","","Crystal Lullaby","---","4","Ancient Marble","---","3","","580","---","---","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","6","-67 Iron Spent","16","Blueprint: Omega Disintegrator","28","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-3 Jewels Spent","45","-1 Crystal Lullaby Spent","45","+10% Multicraft Chance","45","ATK +58","45","DEF +46","45","+10% Base ATK, DEF and HP","45","","840","1,870","375","2,480","","",""
"Oxen Impact","Gun","Year of the Ox Superior Offer","---","250","10","675,000","43,800","12:10:00","15.41","105,000","2.4","1,575","7,875","2,933","672","","Engineer","26","Master","22","Blacksmith","19","","354","---","---","---","93","---","---","---","---","17","---","---","","Precious Shell","---","5","---","---","","","610","153","---","---","---","---","","---","Ox Endurance","---","---","","-20% Craft Time Reduction","6","-71 Iron Spent","16","x1.25 Value Increase","28","-19 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-3 Jewels Spent","45","-1 Precious Shell Spent","45","+10% Multicraft Chance","45","ATK +61","45","DEF +49","45","+10% Base ATK, DEF and HP","45","","850","1,885","375","2,635","","August 9, 2021",""
"Omega Disintegrator","Gun","Crafty Engineer Pack","85","","11","1,700,000","51,600","14:20:00","32.95","170,000","3.29","2,550","12,750","3,351","576","","Engineer","27","Master","23","Blacksmith","20","","372","---","---","---","98","---","---","---","---","19","---","---","","Sigil of Might","---","1","Zirconia Eggshell","---","4","","720","---","---","---","---","---","","Dark","---","---","---","","-20% Craft Time Reduction","6","-74 Iron Spent","16","Blueprint: Blackbeard's Cannon","28","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-4 Jewels Spent","60","-1 Zirconia Eggshell Spent","60","+10% Multicraft Chance","60","ATK +72","60","DEF +58","60","+10% Base ATK, DEF and HP","60","","1,145","2,545","510","2,790","","",""
"Opulent Pistol","Gun","Opulent Chest","---","","11","3,400,000","51,600","14:20:00","65.89","170,000","3.29","2,550","12,750","3,351","576","","Engineer","27","Master","23","Blacksmith","20","","372","---","---","---","98","---","---","---","---","19","---","---","","Opulent Jewel","---","5","Grim Talon","---","4","","720","---","---","---","---","---","","Gold","Quetzalcoatl Spirit","---","---","","-20% Craft Time Reduction","6","-74 Iron Spent","16","x1.25 Value Increase","28","-20 Steel Spent","45","Quality Chance x2","70","","+10% Surcharge Value","10","x1.25 Value Increase","20","+20% Bonus Favor","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-4 Jewels Spent","60","-1 Opulent Jewel Spent","60","+10% Multicraft Chance","60","ATK +72","60","DEF +58","60","+10% Base ATK, DEF and HP","60","","1,200","2,665","535","2,790","","December 9, 2021",""
"Dogbone Blaster","Gun","Dog Superior Pack","---","300","11","2,000,000","51,600","14:20:00","38.76","170,000","3.29","2,550","12,750","3,351","691","","Engineer","27","Master","23","Blacksmith","20","","372","---","---","---","98","---","---","---","---","19","---","---","","Sigil of Might","---","1","Grim Talon","---","4","","720","---","23","---","---","---","","---","Wolf Ferocity","---","---","","-20% Craft Time Reduction","6","-74 Iron Spent","16","x1.25 Value Increase","28","-20 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","40","x1.25 Value Increase","65","+25% Base ATK, DEF and HP","100","","-4 Jewels Spent","60","-1 Grim Talon Spent","60","+10% Multicraft Chance","60","ATK +72","60","HP +22","60","+10% Base ATK, DEF and HP","60","","1,240","2,750","550","2,790","","February 21, 2022",""
"Blackbeard's Cannon","Gun","Crafty Engineer Pack","120","","12","3,200,000","102,000","28:20:00","31.37","365,000","3.58","5,475","27,375","5,588","760","","Engineer","30","Master","26","Blacksmith","23","","445","---","---","---","123","---","---","---","---","27","---","---","","Sigil of True Might","---","1","Magma Core","---","2","","950","---","---","---","---","---","","Water","---","---","---","","-20% Craft Time Reduction","6","-89 Iron Spent","14","x1.25 Value Increase","26","Blueprint: Vainglory","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-5 Jewels Spent","80","-37 Steel Spent","80","+10% Multicraft Chance","80","ATK +95","80","DEF +76","80","+10% Base ATK, DEF and HP","80","","1,550","3,445","690","3,465","","",""
"Hotshot Carbine","Gun","Wild West Superior Pack","---","350","12","3,400,000","102,000","28:20:00","33.33","365,000","3.58","5,475","27,375","5,301","1,046","","Engineer","30","Master","26","Blacksmith","23","","","430","---","---","","115","---","---","---","25","---","---","","Sigil of True Might","---","1","Crush Claw","---","3","","950","238","---","---","---","---","","Fire","---","---","---","","-25% Craft Time Reduction","6","-108 Wood Spent","14","-23 Ironwood Spent","26","x1.25 Value Increase","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-5 Jewels Spent","80","-1 Crush Claw Spent","80","+10% Multicraft Chance","80","ATK +95","80","DEF +76","80","+10% Base ATK, DEF and HP","80","","1,600","3,550","710","3,465","","November 28, 2022",""
"Gift Wrap Rifle","Gun","Holiday 2022 Superior Pack","---","350","12","3,500,000","120,600","33:30:00","29.02","390,000","3.23","5,850","29,250","6,344","1,176","","Engineer","31","Master","27","Blacksmith","24","","463","---","---","---","134","---","---","---","---","30","---","---","","Sigil of True Might","---","1","Overgrown Vine","---","8","","980","---","---","---","0.05","---","","Light","Christmas Spirit","---","---","","-20% Craft Time Reduction","6","x1.25 Value Increase","14","-139 Iron Spent","26","-27 Steel Spent","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","+10% Multicraft Chance","35","x1.25 Value Increase","55","+25% Base ATK, DEF and HP","85","","-3 Overgrown Vine Spent","80","-6 Jewels Spent","80","+10% Multicraft Chance","80","ATK +98","80","CRIT +2%","80","+10% Base ATK, DEF and HP","80","","1,620","3,600","720","3,645","","June 12, 2023",""
"Vainglory","Gun","Crafty Engineer Pack","200","","13","6,050,000","142,800","39:40:00","42.37","410,000","2.87","6,150","30,750","6,419","936","","Engineer","32","Master","28","Blacksmith","25","","385","---","---","---","139","---","---","---","---","---","5","---","","Outsider's Claw","---","3","Zirconia Eggshell","---","3","","1,170","---","---","---","---","---","","Light","---","---","---","","-20% Craft Time Reduction","4","-1 Outsider's Claw Spent","10","x1.25 Value Increase","18","Blueprint: Pistil Pistol","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Essence Spent","100","-35 Steel Spent","100","+10% Multicraft Chance","100","ATK +117","100","DEF +94","100","+10% Base ATK, DEF and HP","100","","2,105","4,680","935","3,830","","",""
"Sonic Trumpeteer","Gun","Music Superior Pack","---","375","13","6,500,000","142,800","39:40:00","45.52","410,000","2.87","6,150","30,750","8,046","1,116","","Engineer","32","Master","28","Blacksmith","25","","473","---","---","---","139","---","---","---","---","---","5","---","","All-Seeing Eye","---","3","Precious Shell","---","6","","1,170","---","36","---","---","---","","Air","---","---","---","","-20% Craft Time Reduction","4","-95 Iron Spent","10","x1.25 Value Increase","18","-35 Steel Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Essence Spent","100","-2 Precious Shell Spent","100","+10% Multicraft Chance","100","ATK +117","100","HP +36","100","+10% Base ATK, DEF and HP","100","","2,180","4,845","970","3,830","","October 30, 2023",""
"Particle Beam Rifle","Gun","Mecha Superior Pack","---","375","13","8,500,000","127,800","35:30:00","66.51","435,000","3.4","6,525","32,625","9,429","1,320","","Engineer","34","Master","30","Blacksmith","27","","491","---","---","---","144","---","---","---","---","---","6","---","","Outsider's Claw","---","4","Blunderbuss","Flawless","1","","1,200","300","---","---","---","---","","All","---","---","---","","Component Quality Reduced","4","Component Quality Reduced","10","-25% Craft Time Reduction","18","-36 Steel Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","-1 Blunderbuss Spent","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-123 Iron Spent","100","-2 Essence Spent","100","+10% Multicraft Chance","100","ATK +120","100","DEF +96","100","+10% Base ATK, DEF and HP","100","","2,480","5,510","1,100","4,015","","May 13, 2024",""
"Platinum Grenadier","Gun","Platinum Chest","---","","13","15,000,000","169,200","47:00:00","88.65","435,000","2.57","6,525","32,625","7,806","960","","Engineer","34","Master","30","Blacksmith","27","","490","---","---","---","145","---","---","---","---","32","---","---","","Platinum Bangles","---","6","---","---","","","1,200","---","---","---","---","---","","Gold","Ancestor Tradition","---","---","","-25% Craft Time Reduction","4","-1 Platinum Bangles Spent","10","x1.25 Value Increase","18","-123 Iron Spent","30","Quality Chance x2","45","","+10% Surcharge Value","5","x1.25 Value Increase","15","+20% Bonus Favor","25","+10% Multicraft Chance","40","Quality Chance x2","65","","-36 Steel Spent","100","-1 Platinum Bangles Spent","100","+10% Multicraft Chance","100","ATK +120","100","DEF +96","100","+10% Base ATK, DEF and HP","100","","2,440","5,425","1,085","4,015","","August 14, 2024",""
"Pistil Pistol","Gun","Crafty Engineer Pack","250","","14","11,500,000","237,000","65:50:00","48.52","485,000","2.05","7,275","36,375","9,632","1,160","","Engineer","36","Master","32","Blacksmith","29","","","---","---","399","","---","---","155","---","---","8","---","","Heaven's Crest","---","4","---","---","","","1,450","---","---","---","---","---","","Earth","---","---","---","","-20% Craft Time Reduction","4","-31 Oils Spent","10","x1.25 Value Increase","18","Blueprint: Divine Eliminator","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Heaven's Crest Spent","120","-2 Essence Spent","120","+10% Multicraft Chance","120","ATK +145","120","DEF +116","120","+10% Base ATK, DEF and HP","120","","2,835","6,305","1,260","4,410","","",""
"Tesla Prototype","Gun","Reinhold's Secret Offer","---","400","14","11,500,000","237,000","65:50:00","48.52","485,000","2.05","7,275","36,375","11,162","1,740","","Engineer","36","Master","32","Blacksmith","29","","508","---","---","---","155","---","---","---","---","---","6","---","","Divine Spark","---","4","Boreal Gale","---","3","","1,450","---","---","---","0.05","---","","Air","---","---","---","","-20% Craft Time Reduction","4","-1 Boreal Gale Spent","10","x1.25 Value Increase","18","-31 Steel Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 Essence Spent","120","-1 Divine Spark Spent","120","+10% Multicraft Chance","120","ATK +145","120","CRIT +2%","120","+10% Base ATK, DEF and HP","120","","2,885","6,410","1,280","4,410","","May 8, 2025",""
"Mini Buster","Gun","Retro Gaming Superior Pack","---","400","14","12,000,000","237,000","65:50:00","50.63","485,000","2.05","7,275","36,375","11,396","1,596","","Engineer","36","Master","32","Blacksmith","29","","","---","---","---","155","---","---","---","57","---","8","---","","Demigod Pinion","---","4","All-Seeing Eye","---","2","","1,450","363","---","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","4","-31 Steel Spent","10","x1.25 Value Increase","18","-31 Steel Spent","30","Quality Chance x2","45","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","40","+25% Base ATK, DEF and HP","65","","-1 All-Seeing Eye Spent","120","-17 Ether Spent","120","+10% Multicraft Chance","120","ATK +145","120","DEF +116","120","+10% Base ATK, DEF and HP","120","","2,935","6,525","1,305","4,410","","February 3, 2025",""
"Wyrmbane Cannon","Gun","Major Artifact Chest","---","","14","15,500,000","280,200","77:50:00","55.32","510,000","1.82","7,650","38,250","13,985","1,530","","Engineer","37","Master","33","Blacksmith","30","","516","---","---","---","160","---","---","---","---","---","9","---","","Rusted Cannon","---","1","Raw Obsidian","---","2","","1,600","---","50","---","---","---","","---","Bahamut Sovereignty","---","---","","-20% Craft Time Reduction","4","-2 Essence Spent","10","x1.25 Value Increase","18","-129 Iron Spent","25","Quality Chance x2","40","","-20% Essence Spent","5","+10% Multicraft Chance","15","x1.25 Value Increase","25","+25% Base ATK, DEF and HP","35","Quality Chance x2","55","","-32 Steel Spent","120","-1 Raw Obsidian Spent","120","+10% Multicraft Chance","120","ATK +160","120","HP +50","120","+10% Base ATK, DEF and HP","120","","3,320","7,375","1,475","4,610","","",""
"Divine Eliminator","Gun","Crafty Engineer Pack","275","","15","19,000,000","362,400","100:40:00","52.43","560,000","1.55","8,400","42,000","18,029","1,344","","Engineer","38","Master","34","Blacksmith","31","","533","---","---","---","136","---","---","---","---","---","11","---","","Marble Pillar","---","4","Star Metal Ingot","---","3","","1,680","---","---","---","---","---","","Light","---","---","---","","-25% Craft Time Reduction","4","-1 Marble Pillar Spent","10","x1.25 Value Increase","18","Blueprint: Photon Phaser","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-133 Iron Spent","130","-2 Essence Spent","130","+10% Multicraft Chance","130","ATK +168","130","DEF +134","130","+10% Base ATK, DEF and HP","130","","3,630","8,065","1,615","5,035","","",""
"Particle Thrower","Gun","Ghostbusters Mega Pack","---","425","15","20,000,000","362,400","100:40:00","55.19","560,000","1.55","8,400","42,000","10,889","1,848","","Engineer","1","Master","34","Blacksmith","31","","533","---","---","---","171","---","---","---","---","---","11","---","","Kingtoplasm","---","4","Outsider's Claw","---","6","","1,680","420","---","---","---","","","---","---","---","---","","-25% Craft Time Reduction","4","-2 Outsider's Claw Spent","10","x1.25 Value Increase","18","-133 Iron Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-34 Steel Spent","130","-2 Essence Spent","130","+10% Multicraft Chance","130","ATK +168","130","DEF +134","130","+10% Base ATK, DEF and HP","130","","3,720","8,265","1,655","5,035","","April 26, 2026",""
"Royal Handcannon","Gun","King Reinhold Superior Pack","---","425","15","20,500,000","362,400","100:40:00","56.57","560,000","1.55","8,400","42,000","10,541","2,016","","Engineer","38","Master","34","Blacksmith","31","","","---","---","---","171","---","---","---","---","37","11","---","","Kingtoplasm","---","5","Divine Spark","---","5","","1,680","---","---","---","0.05","---","","Gold","---","---","---","","x1.5 Value Increase","4","-25% Craft Time Reduction","10","-43 Steel Spent","18","-7 Jewels Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-1 Kingtoplasm Spent","130","-2 Essence Spent","130","+10% Multicraft Chance","130","ATK +168","130","CRIT +2%","130","+10% Base ATK, DEF and HP","130","","3,765","8,365","1,675","5,035","","May 25, 2026",""
"Acidifier-X","Gun","Xenotype Superior Pack","---","425","15","21,000,000","362,400","100:40:00","57.95","560,000","1.55","8,400","42,000","10,889","1,609","","Engineer","38","Master","34","Blacksmith","31","","533","---","---","---","171","---","---","---","---","---","11","---","","Star Metal Ingot","---","5","Mysterious Fossil","---","4","","1,680","---","53","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","4","-133 Iron Spent","10","x1.25 Value Increase","18","-34 Steel Spent","25","Quality Chance x2","40","","+20% Surcharge Value","5","-10% Surcharge Cost","15","+10% Multicraft Chance","25","x1.25 Value Increase","35","+25% Base ATK, DEF and HP","55","","-1 Star Metal Ingot Spent","130","-2 Essence Spent","130","+10% Multicraft Chance","130","ATK +168","130","HP +52","130","+10% Base ATK, DEF and HP","130","","3,825","8,505","1,700","5,035","","August 30, 2026",""
"Photon Phaser","Gun","Crafty Engineer Pack","300","","16","36,500,000","503,400","139:50:00","72.51","615,000","1.22","9,225","46,125","23,152","1,424","","Engineer","39","Master","35","Blacksmith","32","","","---","---","---","181","---","---","---","65","---","---","13","","Xzyur Claw","---","4","Paramount Gem","---","4","","1,780","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","3","-45 Steel Spent","8","x1.25 Value Increase","14","-13 Ether Spent","20","Quality Chance x2","30","","+20% Surcharge Value","5","-10% Surcharge Cost","10","+10% Multicraft Chance","20","x1.25 Value Increase","30","+25% Base ATK, DEF and HP","40","","-1 Paramount Gem Spent","140","-3 Stardust Spent","140","+10% Multicraft Chance","140","ATK +178","140","DEF +142","140","+10% Base ATK, DEF and HP","140","","4,345","9,660","1,930","5,470","","",""
"Water Gun","Gun","---","---","450","16","37,000,000","503,400","139:50:00","73.5","615,000","1.22","9,225","46,125","23,103","1,704","","Engineer","39","Master","35","Blacksmith","32","","550","---","---","---","","---","---","---","---","65","---","13","","Alien Bulb","---","4","Kingtoplasm","---","5","","1,780","---","56","---","---","---","","All","---","---","---","","-25% Craft Time Reduction","3","-13 Jewels Spent","8","x1.25 Value Increase","14","-138 Iron Spent","20","Quality Chance x2","30","","+20% Surcharge Value","5","-10% Surcharge Cost","10","+10% Multicraft Chance","20","x1.25 Value Increase","30","+25% Base ATK, DEF and HP","40","","-3 Stardust Spent","140","-2 Kingtoplasm Spent","140","+10% Multicraft Chance","140","ATK +178","140","HP +55","140","+10% Base ATK, DEF and HP","140","","4,375","9,720","1,945","5,470","","January 26, 2027",""
"Solaryn Trifuser","Gun","Solaryn Superior Pack","---","450","16","37,500,000","503,400","139:50:00","74.49","615,000","1.22","9,225","46,125","23,103","2,136","","Engineer","39","Master","35","Blacksmith","32","","550","---","---","---","181","---","---","---","---","---","---","13","","Alien Bulb","---","4","Hybridized Vine","---","5","","1,780","---","---","0.05","---","---","","Light, Earth","---","---","---","","-25% Craft Time Reduction","3","-138 Iron Spent","8","x1.25 Value Increase","14","-36 Steel Spent","20","Quality Chance x2","30","","+20% Surcharge Value","5","-10% Surcharge Cost","10","+10% Multicraft Chance","20","x1.25 Value Increase","30","+25% Base ATK, DEF and HP","40","","-2 Alien Bulb Spent","140","-3 Stardust Spent","140","+10% Multicraft Chance","140","ATK +178","140","EVA +2%","140","+10% Base ATK, DEF and HP","140","","4,405","9,790","1,960","5,470","","February 28, 2027",""
"Triangle","Instrument","The Bard Pack","---","","3","2,600","370","00:06:10","7.03","4,400","11.89","66","330","26","77","","Bard","1","---","","---","","","19","---","---","---","","---","---","---","---","---","---","---","","Elven Wood","---","5","---","---","","","96","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","5","x1.25 Value Increase","14","Blueprint: Hunting Horn","24","-5 Iron Spent","40","Quality Chance x3","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","Quality Chance x2","85","","-2 Elven Wood Spent","10","+10% Multicraft Chance","10","Quality Chance x2","10","ATK +10","10","HP +3","10","+10% Base ATK, DEF and HP","10","","40","85","15","110","","",""
"Air Guitar","Instrument","---","---","75","3","3,150","370","00:06:10","8.51","4,400","11.89","66","330","52","177","","Bard","1","---","","---","","","13","13","13","---","","---","---","---","---","---","---","---","","Silver Dust","---","1","---","---","","","96","---","---","0.13","---","---","","Air","---","---","---","","-13% Craft Time Reduction","13","x1.13 Value Increase","26","-13 Leather Spent","39","-13 Iron Spent","52","Quality Chance x3","65","","+20% Surcharge Value","20","-10% Surcharge Cost","35","x1.25 Value Increase","55","+10% Multicraft Chance","75","Quality Chance x2","90","","-13% Craft Time Reduction","10","-13 Wood Spent","10","+13% Multicraft Chance","10","ATK +10","10","HP +3","10","+10% Base ATK, DEF and HP","10","","45","95","20","110","","September 28, 2026",""
