"","IRON BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","5,000 / 15,000 / 30,000 / 50,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STEEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","50,000 / 150,000 / 300,000 / 500,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","JEWEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","2,000,000 / 3,000,000 / 50,000,000 / 100,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","ESSENCE BEACON ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","250,000,000 / 500,000,000 / 750,000,000 / 1,000,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","DRAGON'S HOARD BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STARDUST BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building",""
"","","4","2x2","53","6","---","12,500","30","---","3 hours","Tannery Lv. 3","","","4","2x2","24","3","---","250,000","125","---","5 hours","Weaver Mill Lv. 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","5","2x2","59","6","---","50,000","40","---","3 hours","Tannery Lv. 4","","","5","2x2","27","3","---","350,000","150","---","7 hours","Weaver Mill Lv. 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 2","6","2x3","65","6","---","100,000","50","---","4 hours, 30 mins","Tannery Lv. 6","","STAGE 2","6","2x3","30","3","---","500,000","175","---","10 hours","Weaver Mill Lv. 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7","2x3","77","12","---","250,000","75","---","8 hours","Tannery Lv. 7","","","7","2x3","36","6","---","750,000","200","---","13 hours","Weaver Mill Lv. 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8","2x3","89","12","---","500,000","100","---","11 hours, 30 mins","Tannery Lv. 9","","","8","2x3","42","6","---","1,500,000","250","---","22 hours","Weaver Mill Lv. 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9","2x3","101","12","---","1,000,000","125","---","16 hours","Tannery Lv. 10","","","9","2x3","48","6","---","3,000,000","300","---","1 day, 1 hour","Weaver Mill Lv. 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10","2x3","113","12","---","2,500,000","150","---","1 day, 4 hours","Tannery Lv. 11","","","10","2x3","54","6","---","9,000,000","350","---","2 days, 8 hours","Weaver Mill Lv. 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 3","11","3x3","125","12","---","6,250,000","200","---","2 days","Tannery Lv. 12","","STAGE 3","11","3x3","60","6","---","15,000,000","400","---","2 days, 14 hours","Weaver Mill Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12","3x3","145","20","---","12,500,000","250","---","2 days, 6 hours","Tannery Lv. 12","","","12","3x3","68","8","---","25,000,000","450","---","3 days, 2 hours","Weaver Mill Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13","3x3","165","20","---","25,000,000","300","---","2 days, 12 hours","Tannery Lv. 13","","","13","3x3","76","8","---","75,000,000","500","---","3 days, 14 hours","Weaver Mill Lv. 13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14","3x3","185","20","---","50,000,000","350","---","3 days","Tannery Lv. 14","","","14","3x3","84","8","---","150,000,000","600","---","4 days, 2 hours","Weaver Mill Lv. 14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","15","3x3","205","20","---","75,000,000","500","---","3 days, 12 hours","Tannery Lv. 15","","","15","3x3","92","8","---","250,000,000","750","---","4 days, 12 hours","Weaver Mill Lv. 15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","16","3x3","225","20","1%","100,000,000","750","100","3 days, 18 hours","Tannery Lv. 16","","","16","3x3","100","8","1%","300,000,000","1,000","150","4 days, 21 hours","Weaver Mill Lv. 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","17","3x3","250","25","2%","125,000,000","1,000","125","3 days, 22 hours","Tannery Lv. 17","","","17","3x3","110","10","2%","400,000,000","1,200","175","5 days, 2 hours, 12 mins","Weaver Mill Lv. 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","18","3x3","275","25","3%","150,000,000","1,250","150","4 days, 4 hours","Tannery Lv. 18","","","18","3x3","120","10","3%","500,000,000","1,500","200","5 days, 10 hours","Weaver Mill Lv. 18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","19","3x3","300","25","4%","200,000,000","1,500","175","4 days, 10 hours","Tannery Lv. 19","","","19","3x3","130","10","4%","600,000,000","1,750","225","5 days, 17 hours, 48 mins","Weaver Mill Lv. 19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20","3x3","325","25","5%","300,000,000","1,750","200","4 days, 16 hours","Tannery Lv. 20","","","20","3x3","140","10","5%","750,000,000","2,250","250","6 days, 1 hours, 36 mins","Weaver Mill Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","21","3x3","350","25","6%","500,000,000","2,000","225","4 days, 22 hours","Tannery Lv. 20","","","21","3x3","150","10","6%","1,500,000,000","2,500","300","6 days, 9 hours, 24 mins","Weaver Mill Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","22","3x3","380","30","7%","750,000,000","2,250","250","5 days, 4 hours","Tannery Lv. 21","","","22","3x3","162","12","7%","2,250,000,000","2,750","350","6 days, 17 hours, 12 mins","Weaver Mill Lv. 21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","23","3x3","410","30","8%","1,000,000,000","2,500","300","5 days, 10 hours","Tannery Lv. 22","","","23","3x3","174","12","8%","3,000,000,000","3,000","400","7 days, 1 hour","Weaver Mill Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","24","3x3","440","30","9%","1,500,000,000","2,750","350","5 days, 16 hours","Tannery Lv. 22","","","24","3x3","186","12","9%","4,500,000,000","3,250","450","7 days, 8 hours, 48 mins","Weaver Mill Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","25","3x3","470","30","10%","3,000,000,000","3,000","400","5 days, 22 hours","Tannery Lv. 23","","","25","3x3","198","12","10%","9,000,000,000","3,500","500","7 days, 16 hours, 36 mins","Weaver Mill Lv. 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","HERB DRYER","","","","","","","","","","","","OIL POT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 1","1","2x2","35","","---","100","","---","---","---","","STAGE 1","1","2x2","15","","---","20,000","","---","---","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2","2x2","41","6","---","500","20","---","5 mins","---","","","2","2x2","18","3","---","50,000","30","---","3 hours","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","3","2x2","47","6","---","2,500","25","---","1 hour","Garden Lv. 2","","","3","2x2","21","3","---","150,000","50","---","3 hours, 30 mins","Oil Press Lv. 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","4","2x2","53","6","---","12,500","30","---","3 hours","Garden Lv. 3","","","4","2x2","24","3","---","250,000","125","---","5 hours","Oil Press Lv. 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","5","2x2","59","6","---","50,000","40","---","3 hours","Garden Lv. 4","","","5","2x2","27","3","---","350,000","150","---","7 hours","Oil Press Lv. 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 2","6","2x3","65","6","---","100,000","50","---","4 hours, 30 mins","Garden Lv. 6","","STAGE 2","6","2x3","30","3","---","500,000","175","---","10 hours","Oil Press Lv. 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7","2x3","77","12","---","250,000","75","---","8 hours","Garden Lv. 7","","","7","2x3","36","6","---","750,000","200","---","13 hours","Oil Press Lv. 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8","2x3","89","12","---","500,000","100","---","11 hours, 30 mins","Garden Lv. 9","","","8","2x3","42","6","---","1,500,000","250","---","22 hours","Oil Press Lv. 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9","2x3","101","12","---","1,000,000","125","---","16 hours","Garden Lv. 10","","","9","2x3","48","6","---","3,000,000","300","---","1 day, 1 hour","Oil Press Lv. 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10","2x3","113","12","---","2,500,000","150","---","1 day, 4 hours","Garden Lv. 11","","","10","2x3","54","6","---","9,000,000","350","---","2 days, 8 hours","Oil Press Lv. 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 3","11","3x3","125","12","---","6,250,000","200","---","2 days","Garden Lv. 12","","STAGE 3","11","3x3","60","6","---","15,000,000","400","---","2 days, 14 hours","Oil Press Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12","3x3","145","20","---","12,500,000","250","---","2 days, 6 hours","Garden Lv. 12","","","12","3x3","68","8","---","25,000,000","450","---","3 days, 2 hours","Oil Press Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13","3x3","165","20","---","25,000,000","300","---","2 days, 12 hours","Garden Lv. 13","","","13","3x3","76","8","---","75,000,000","500","---","3 days, 14 hours","Oil Press Lv. 13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14","3x3","185","20","---","50,000,000","350","---","3 days","Garden Lv. 14","","","14","3x3","84","8","---","150,000,000","600","---","4 days, 2 hours","Oil Press Lv. 14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","15","3x3","205","20","---","75,000,000","500","---","3 days, 12 hours","Garden Lv. 15","","","15","3x3","92","8","---","250,000,000","750","---","4 days, 12 hours","Oil Press Lv. 15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","16","3x3","225","20","1%","100,000,000","750","100","3 days, 18 hours","Garden Lv. 16","","","16","3x3","100","8","1%","300,000,000","1,000","150","4 days, 21 hours","Oil Press Lv. 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","17","3x3","250","25","2%","125,000,000","1,000","125","3 days, 22 hours","Garden Lv. 17","","","17","3x3","110","10","2%","400,000,000","1,200","175","5 days, 2 hours, 12 mins","Oil Press Lv. 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","18","3x3","275","25","3%","150,000,000","1,250","150","4 days, 4 hours","Garden Lv. 18","","","18","3x3","120","10","3%","500,000,000","1,500","200","5 days, 10 hours","Oil Press Lv. 18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","19","3x3","300","25","4%","200,000,000","1,500","175","4 days, 10 hours","Garden Lv. 19","","","19","3x3","130","10","4%","600,000,000","1,750","225","5 days, 17 hours, 48 mins","Oil Press Lv. 19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20","3x3","325","25","5%","300,000,000","1,750","200","4 days, 16 hours","Garden Lv. 20","","","20","3x3","140","10","5%","750,000,000","2,250","250","6 days, 1 hours, 36 mins","Oil Press Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","21","3x3","350","25","6%","500,000,000","2,000","225","4 days, 22 hours","Garden Lv. 20","","","21","3x3","150","10","6%","1,500,000,000","2,500","300","6 days, 9 hours, 24 mins","Oil Press Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","22","3x3","380","30","7%","750,000,000","2,250","250","5 days, 4 hours","Garden Lv. 21","","","22","3x3","162","12","7%","2,250,000,000","2,750","350","6 days, 17 hours, 12 mins","Oil Press Lv. 21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","23","3x3","410","30","8%","1,000,000,000","2,500","300","5 days, 10 hours","Garden Lv. 22","","","23","3x3","174","12","8%","3,000,000,000","3,000","400","7 days, 1 hour","Oil Press Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","24","3x3","440","30","9%","1,500,000,000","2,750","350","5 days, 16 hours","Garden Lv. 22","","","24","3x3","186","12","9%","4,500,000,000","3,250","450","7 days, 8 hours, 48 mins","Oil Press Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","25","3x3","470","30","10%","3,000,000,000","3,000","400","5 days, 22 hours","Garden Lv. 23","","","25","3x3","198","12","10%","9,000,000,000","3,500","500","7 days, 16 hours, 36 mins","Oil Press Lv. 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
