"","FIGHTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","ROGUE CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","SPELLCASTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","",""
"","Catalyst","---","---","---","---","---","---","","---","---","---","---","---","Idol","---","","Catalyst","---","---","---","---","---","---",""
"","DEATH KNIGHT
(Dark Knight Class Promotion)","","Prerequisite","Titan Soul","HP","120","ELEMENT","","PRAETORIAN
(Velite Class Promotion)","","Prerequisite","Titan Soul","HP","80","ELEMENT","","FATEWEAVER
(Chronomancer Class Promotion)","","Prerequisite","Titan Soul","HP","50","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","100","","","","","Critical Hit Chance","20%","ATK","100","","","","","Critical Hit Chance","5%","ATK","220","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","100","Dark","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","80","Light","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","70","Air",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","0%","","","Gem Hire Cost","---","Threat Rating","60","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Heavy Footwear","Spell","Shield","Lv. 5","","Shield","Light Armor","Rogue Hat","Gloves","Light Footwear","Meal","Lv. 5","","Staff","Clothes","Magician Hat","Light Footwear","Spell","Ring","Lv. 5",""
"","Axe","---","Helmet","---","Amulet","Cloak","Lv. 10","","---","---","Mask","---","---","Dessert","Lv. 10","","Sword","---","Mask","---","---","Amulet","Lv. 10",""
"","Mace","---","Mask","---","Idol","Quiver","Lv. 23","","---","---","---","---","---","Ring","Lv. 23","","Wand","---","---","---","---","Meal","Lv. 23",""
"","Crossbow","---","---","---","---","Idol","Lv. 35","","---","---","---","---","---","Amulet","Lv. 35","","Instrument","---","---","---","---","Idol","Lv. 35",""
"","Catalyst","---","---","---","---","---","---","","---","---","---","---","---","Idol","---","","Catalyst","---","---","---","---","---","---",""
